"Mit jelent a TT rendszerjelölés első ""T"" betűje?",A tápláló transzformátor csillagpontjának közvetlen földelését jelöli.
"Mit jelent a TT rendszerjelölés második ""T"" betűje?",A fogyasztó-berendezések testjeinek védővezetőn keresztüli földelését jelöli.
Mi a méretezési képlet TT-rendszerben túláramvédelem alkalmazásakor az érintési feszültség korlátozására?,$R_A \cdot I_a \le 50V$
"Milyen eszközzel oldható meg az érintésvédelmi kioldás TT-rendszerben, ha a túláramvédelem nem választható elég kicsire?",Áram-védőkapcsolóval (RCD).
Mi a hurokimpedancia ($Z_s$) összetevője TT-rendszerben?,"Tápforrás, fázisvezető, testek védővezetője, földelővezető, berendezés földelője és a tápforrás földelője."
Mennyi a maximális megengedett lekapcsolási idő TT-rendszerben $230-400V$ esetén?,"$t < 0,7$ másodperc (32A-nél nagyobb áramnál 1 másodperc)."
Mi jellemzi az IT-rendszer táppontjának földelését?,"Nincs közvetlenül földelt pontja (szigetelt), vagy csak nagy impedancián keresztül van földelve."
Milyen speciális területeken alkalmazzák az IT-rendszert?,"Kórházi műtőkben, bányahálózatokban és olyan helyeken, ahol a váratlan kikapcsolás életveszélyt okozna."
Milyen berendezés szükséges az IT-rendszerben az első szigetelési hiba jelzésére?,Állandó szigetelés-ellenőrző berendezés.
Mi a feltétele az áram-védőkapcsoló névleges kioldóáramának ($I_{\Delta n}$) IT-rendszerben a szelektivitás érdekében?,$2 \cdot I_c < I_{\Delta n} < I_d - I_c$
Mi a külső villámvédelmi rendszer három fő része?,"Felfogó, levezető és földelő."
Mi a villámáram másodlagos hatása a környező fémvezetőkben?,"Nagy indukciójú mágneses tér hatására feszültséget indukál, ami átíveléshez vagy túlfeszültséghez vezethet."
Milyen magasságú épületek esetén kell a fal felső 20%-án is felfogót kialakítani?,60 méter feletti épületmagasság esetén.
Mi a különbség a mesterséges és a természetes felfogó között?,"A mesterséges kifejezetten villámvédelemre készült, a természetes eredetileg más építészeti célt szolgál."
Milyen minimális távolságot kell tartani a villámvédelmi földelő és a közművek között?,Legalább 3 métert.
Milyen típusú földelőkhöz tartoznak a vízszintes szalagföldelők és függőleges szondák?,"Az „A” típusú, vonalszerű földelőkhöz."
Mi a „B” típusú villámvédelmi földelő jellemzője?,Síkban vagy térben zárt hurkot alkotó vezetőkből áll (pl. keretföldelő).
Milyen magasságban szokás elhelyezni a villámvédelmi mérési helyet?,"A talajszint felett 0,5 és 1,5 méter között."
Definíció: Túlfeszültség,A legnagyobb megengedett üzemi feszültség csúcsértékét meghaladó feszültség.
Milyen három fokozatban oldják meg a belső túlfeszültség-védelmet?,"B, C és D fokozatban."
Melyik túlfeszültség-védelmi fokozatot építi be az áramszolgáltató a hálózatába?,Az „A” fokozatot.
Milyen hullámalakkal jellemzik a közvetlen villámcsapás okozta áramimpulzust?,$10/350\ \mu s$-os hullámalakkal.
Milyen technológiát alkalmaznak általában a „B” fokozatú túlfeszültség-védőkben?,Szikraköz technológiát.
Milyen technológiát alkalmaznak a „C” és „D” fokozatú túlfeszültség-védőkben?,Varisztor technológiát.
Milyen vizuális jelzés mutatja a túlfeszvédő modul meghibásodását?,Az állapotjelző pirosra váltása.
Mi a definíciója az aszinkron motornak?,"Olyan váltakozó áramú forgógép, amelynek fordulatszáma elmarad az állórész mágneses mezejének fordulatszámától."
Miért nevezik az aszinkron motorokat indukciós gépeknek?,Mert az állórész mágneses tere feszültséget indukál a forgórész meneteiben.
Mi a szerepe a kondenzátornak az egyfázisú aszinkron motor segédfázis áramkörében?,A forgó mágneses mező létrehozásához szükséges fáziseltolást biztosítja.
Hogyan változtatható meg a háromfázisú aszinkron motor forgásiránya?,Bármely két fázisvezető felcserélésével.
Mi a szinkrongép legfontosabb fordulatszám-jellemzője?,Csak egy meghatározott szinkron fordulatszámon képes tartósan üzemelni.
Mi a szinkron fordulatszám ($f_0$) összefüggése a póluspárok számával ($p$) és a percenkénti fordulatszámmal ($n_0$)?,$f_0 = \frac{p \cdot n_0}{60}$
Melyik részegység végzi a mechanikus egyenirányítást az egyenáramú gépekben?,A kommutátor (és a szénkefék).
Mi az armatúravisszahatás következménye egyenáramú gépeknél?,"Eltolódik a mágneses semleges vonal, ami a szénkefék szikrázását okozza."
Milyen szerkezeti elemekkel csökkenthető az armatúravisszahatás?,Segédpólusokkal és kompenzálótekercseléssel.
Milyen gerjesztésű egyenáramú motort fedezett fel Jedlik Ányos 1861-ben?,A párhuzamos (sönt) gerjesztésű öngerjesztő motort.
Mi a tekercsek impregnálásának (itatásának) elsődleges célja?,A levegő kiszorítása jó hővezető szigetelőanyaggal a jobb hőelvezetés és nedvesség elleni védelem érdekében.
Milyen minimális keresztmetszetűnek kell lennie a csatlakozóvezetéknek rézvezető esetén?,Legalább $10\ mm^2$.
Mennyi a szigetelt csatlakozó szabadvezeték minimális magassága út felett?,Legalább 5 méter.
Milyen magassági tartományban kell elhelyezni a fogyasztásmérő szekrényt?,"Alsó széle 0,6 m, felső széle 1,8 m magasságban lehet a padlószinttől."
Milyen minimális IP védettségűnek kell lennie a fogyasztásmérő szekrénynek?,Legalább IP44-es védettségűnek.
